,ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.flags,tcp.analysis.ack_rtt,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
30,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,2.0,17.0,0.002925,0.0,0.0,28.21398,0.002925,0.020478,0.002925,benign
31,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,2.0,16.0,0.0029289999999999997,0.0,0.0,28.216909,0.0029289999999999997,0.023407,0.0029289999999999997,benign
32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.36737,0.15046099999999998,0.0,0.0,benign
33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.127472999999995,4.760103,0.0,0.0,benign
34,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,33.216848,0.089375,0.0,0.0,benign
35,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,3.0,18.0,0.0019510000000000003,0.0,0.0,33.218799,0.0019510000000000003,0.0019510000000000003,0.0019510000000000003,benign
36,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,3.0,16.0,0.000976,0.0,0.0,33.219775,0.000976,0.002927,0.000976,benign
37,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,3.0,24.0,0.0,1.0,0.0,33.220787,0.0010119999999999999,0.003939,0.0010119999999999999,benign
38,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,3.0,16.0,0.001947,0.0,0.0,33.222734,0.001947,0.005886,0.001947,benign
39,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,3.0,24.0,0.0,0.0,0.0,33.230543,0.007809,0.013694999999999999,0.007809,benign
40,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,3.0,16.0,0.001945,0.0,0.0,33.232488000000004,0.001945,0.01564,0.001945,benign
41,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,3.0,17.0,0.0,0.0,0.0,33.233438,0.00095,0.01659,0.00095,benign
42,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,3.0,17.0,0.001952,0.0,0.0,33.23539,0.001952,0.018542,0.001952,benign
43,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,3.0,16.0,0.001953,0.0,0.0,33.237343,0.001953,0.020495,0.001953,benign
44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.822132,4.584789,0.0,0.0,benign
45,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,38.247667,0.42553500000000005,0.0,0.0,benign
46,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,4.0,18.0,0.001983,0.0,0.0,38.24965,0.001983,0.001983,0.001983,benign
47,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,4.0,16.0,0.0019210000000000002,0.0,0.0,38.251571000000006,0.0019210000000000002,0.003904,0.0019210000000000002,benign
48,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,4.0,24.0,0.0,1.0,0.0,38.252548,0.000977,0.004881,0.000977,benign
49,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,4.0,16.0,0.001006,0.0,0.0,38.253554,0.001006,0.005887,0.001006,benign
50,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,4.0,24.0,0.0,0.0,0.0,38.262346,0.008792,0.014679,0.008792,benign
51,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,4.0,16.0,0.001912,0.0,0.0,38.264258,0.001912,0.016590999999999998,0.001912,benign
52,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,4.0,17.0,0.0,0.0,0.0,38.265236,0.000978,0.017569,0.000978,benign
53,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,4.0,17.0,0.0019510000000000003,0.0,0.0,38.267187,0.0019510000000000003,0.01952,0.0019510000000000003,benign
54,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,4.0,16.0,0.001952,0.0,0.0,38.269139,0.001952,0.021472,0.001952,benign
55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.579603000000006,4.310464,0.0,0.0,benign
56,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,43.276055,0.6964520000000001,0.0,0.0,benign
57,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,5.0,18.0,0.001947,0.0,0.0,43.278002,0.001947,0.001947,0.001947,benign
